,Equally-Weighted
2021-02-03,0.005584364217037054
2021-02-04,0.014507950513398024
2021-02-05,0.0016044267046211945
2021-02-08,0.0102856387846651
2021-02-09,-0.0008775003571517904
2021-02-10,0.0002567891014201509
2021-02-11,0.004263555405961297
2021-02-12,0.002097668716058821
2021-02-16,0.0018647029322915493
2021-02-17,-0.0010467578960452325
2021-02-18,-0.006352208790000173
2021-02-19,-0.007222755319147197
2021-02-22,-0.009055845753567224
2021-02-23,0.0014955141331023452
2021-02-24,0.011312226216123029
2021-02-25,-0.027891501025646505
2021-02-26,-0.002962874825229789
2021-03-01,0.02428742174154818
2021-03-02,-0.010861154770950465
2021-03-03,-0.016959677556507964
2021-03-04,-0.01472061558570793
2021-03-05,0.016484286388884793
2021-03-08,-0.0077779131189563856
2021-03-09,0.022209896278034078
2021-03-10,0.006339508199337364
2021-03-11,0.014393369957899985
2021-03-12,-0.0013118123609859992
2021-03-15,0.0041462939577625564
2021-03-16,0.0022576815296893506
2021-03-17,0.0014955746752425547
2021-03-18,-0.017592542422835634
2021-03-19,-0.0029105993377919045
2021-03-22,0.008058517983972944
2021-03-23,-0.0030130763438217588
2021-03-24,-0.008518931024846839
2021-03-25,0.003270448432126602
2021-03-26,0.011557885022054303
2021-03-29,-0.00014827916409581747
2021-03-30,-0.0021793244710233534
2021-03-31,0.005430591672246797
2021-04-01,0.012733944722488684
2021-04-05,0.01868085167462426
2021-04-06,-0.0017389517470255355
2021-04-07,0.004475745500376086
2021-04-08,0.007295485680704717
2021-04-09,0.007134265688367579
2021-04-12,0.0007931783689982619
2021-04-13,0.006409494149009468
2021-04-14,-0.00863049818484036
2021-04-15,0.014480497525299214
2021-04-16,0.00236055733932953
2021-04-19,-0.007577958950313506
2021-04-20,-0.005977247495568912
2021-04-21,0.008284210880790248
2021-04-22,-0.012199556223285838
2021-04-23,0.008569512735379732
2021-04-26,0.0013844797617175329
2021-04-27,-0.003930290826051934
2021-04-28,0.0021535891529722772
2021-04-29,0.008481569910925673
2021-04-30,-0.006017610573663404
2021-05-03,-0.0010449500970533562
2021-05-04,-0.0076538060474217705
2021-05-05,-0.001324604494445792
2021-05-06,0.00992566343515427
2021-05-07,0.006765192885512331
2021-05-10,-0.013922784039563728
2021-05-11,-0.008673607992768718
2021-05-12,-0.02220668862239119
2021-05-13,0.009040502892492083
2021-05-14,0.014104313989014981
2021-05-17,-0.0047170790662693085
2021-05-18,-0.00671119222973784
2021-05-19,-0.003930687498562494
2021-05-20,0.012204794848096251
2021-05-21,0.0003277518617152161
2021-05-24,0.013859254959817817
2021-05-25,-0.0012218055820428916
2021-05-26,0.002995584770654759
2021-05-27,-0.0019366467270153678
2021-05-28,0.0015682414344750726
2021-06-01,-0.00044694912912376217
2021-06-02,0.002075969465272903
2021-06-03,-0.0051230049280996705
2021-06-04,0.011134780410668597
2021-06-07,-0.0010872672695482293
2021-06-08,0.000292646691717372
2021-06-09,-0.0011285404815931572
2021-06-10,0.005630498480368191
2021-06-11,0.0017121428247224458
2021-06-14,0.00377881106415973
2021-06-15,-0.004239658978165319
2021-06-16,-0.004065453566626872
2021-06-17,0.005614660147104011
2021-06-18,-0.009119647838884162
2021-06-21,0.01053580488490394
2021-06-22,0.008182499189606748
2021-06-23,0.0004950271239790844
2021-06-24,0.006868964104931419
2021-06-25,0.0021744744187634723
2021-06-28,0.0021251415965793854
2021-06-29,-0.0013139989662128502
2021-06-30,0.0025474994680967362
2021-07-01,0.004530613871079804
2021-07-02,0.009850504321792497
2021-07-06,-0.0011313443972386455
2021-07-07,0.001514232231929299
2021-07-08,-0.006742065558147367
2021-07-09,0.00953960059820148
2021-07-12,0.007883734607939336
2021-07-13,-0.001391209526747173
2021-07-14,0.0006899297932345607
2021-07-15,-0.003984027262119768
2021-07-16,-0.009319413737188956
2021-07-19,-0.01592959291340184
2021-07-20,0.012350577230062047
2021-07-21,0.008543848440521765
2021-07-22,0.002417088363457041
2021-07-23,0.010825877736026635
2021-07-26,0.003799271854665749
2021-07-27,-0.007301423385739975
2021-07-28,-0.0011513497088340866
2021-07-29,0.002527805588342641
2021-07-30,-0.007900276714407642
2021-08-02,-0.002084272723461342
2021-08-03,0.005009307462777983
2021-08-04,-0.0014813710488101673
2021-08-05,0.008867103412288276
2021-08-06,0.0003470685038427019
2021-08-09,0.0001971749601669197
2021-08-10,-0.0005248294480436042
2021-08-11,0.0013589420365352025
2021-08-12,0.0036944803933750842
2021-08-13,0.0017959856702645888
2021-08-16,0.0012358119271472284
2021-08-17,-0.0095693752636107
2021-08-18,-0.008036910957351652
2021-08-19,0.003833624786677852
2021-08-20,0.010343737551654202
2021-08-23,0.011763494151548998
2021-08-24,0.0002856177148257785
2021-08-25,0.0007982817515089644
2021-08-26,-0.0067479707155851465
2021-08-27,0.00946513724231105
2021-08-30,0.006562021480023578
2021-08-31,-0.0012672038578548065
2021-09-01,0.0018834164414509608
2021-09-02,-0.0018089984272510074
2021-09-03,0.002753539463396114
2021-09-07,0.0015920043959031511
2021-09-08,-0.0018592592533572788
2021-09-09,-0.0034862502716668997
2021-09-10,-0.010097069975618218
2021-09-13,0.0034548313841456105
2021-09-14,-0.00790045980968244
2021-09-15,0.008365913401821206
2021-09-16,0.0006282316045012738
2021-09-17,-0.007796133178880007
2021-09-20,-0.020110477496262363
2021-09-21,-0.0002733299770568819
2021-09-22,0.008464961149019257
2021-09-23,0.01235101104614689
2021-09-24,0.0028515847063696007
2021-09-27,-0.002802098883514495
2021-09-28,-0.022482833972869518
2021-09-29,0.0006969671976682976
2021-09-30,-0.010375898393988742
2021-10-01,0.01265930555774578
2021-10-04,-0.018322047140794204
2021-10-05,0.013895170887411113
2021-10-06,0.007857222464704328
2021-10-07,0.010608695756958634
2021-10-08,-0.0017623303738925277
2021-10-11,-0.008032141755351985
2021-10-12,-0.0031562515667118963
2021-10-13,0.0019255849943370477
2021-10-14,0.019678482100406777
2021-10-15,0.012771887682767854
2021-10-18,0.005566413080227975
2021-10-19,0.006460601653829262
2021-10-20,-0.0035519310038698276
2021-10-21,0.005007250409576464
2021-10-22,0.0005741307697251587
2021-10-25,0.012411650751439634
2021-10-26,0.004915634636126291
2021-10-27,-0.004374701604719595
2021-10-28,0.0070385582351402635
2021-10-29,0.007203318797195052
2021-11-01,-0.0011435859797618373
2021-11-02,0.001291033373842399
2021-11-03,0.008100874866897593
2021-11-04,0.010532864481421742
2021-11-05,0.0019189033690526673
2021-11-08,0.0021559231752149967
2021-11-09,-0.0073371910482049624
2021-11-10,-0.0068923565392953415
2021-11-11,-0.003284460415484922
2021-11-12,0.007929248453785807
2021-11-15,-0.003825574474650322
2021-11-16,0.007082420682014538
2021-11-17,-0.004066077949139264
2021-11-18,0.0071018255348499326
2021-11-19,0.000561980393289692
2021-11-22,-0.009888567572919196
2021-11-23,0.0008730295088022865
2021-11-24,0.005805587127125894
2021-11-26,-0.0226595341199961
2021-11-29,0.016176336710170262
2021-11-30,-0.017993116155321415
2021-12-01,-0.01822389575939058
2021-12-02,0.009439284917209594
